,"39.300,00",Foco Black,Actualizando,Detenido,Evento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,Euro,Plaza de Lourdes,Quinta Normal,Avda. San Pablo Nº 3770,2S2027,Euro,A+,"3,00%","1,50%","Pronto pago, se liquida para pago en la quincena siguiente al cierre. Teniendo firmada promesa y documentación Pistos. 
Fechas de pagos : 
1.- lo que se encuentre firmado entre el 1 y el 15 del mes, se paga el 30 del mes en curso.
2.- lo que se encuentre firmado entre el 15 y el 30 del mes, se paga el 15 del mes siguiente.",SI,"5,00%","15,00%","0,00%","5,00%",60,60,"15,00%",0,"0,00%",1,"5,00%",,$0,$0,$0,$100.000,N/A,SI,"- Descuento sobre el precio lista: 5%


15% en 60 cuotas pistos
BP 5%

DPP 21%

2 Años de arriendo garantizado
(Cuesta 1% dcto)
1D+1B (2C / Ka) UF [7,92 - 8,05]
2D+1B (3C / Ka) UF [9,17]
2D+1B (4C / Ka) UF [9,68]
2D+2B (4C / Kc) [10,95]
2D+2B (M)(4C / Ka) UF [10,82]
3D+2B (5C / Kc) UF [11,97]","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [340 - 380] ,UF [45 - 65],NO,SI
OK,Euro,Rosas 1444,Santiago,"Rosas 1438, Santiago Centro",Inmediata,Euro,A,"4,00%","2,00%","3% a la promesa, 1% a la Escritura.",SI,"10,00%","7,00%","3,00%","6,00%",48,0,"0,00%",48,"7,00%",0,"0,00%",UF2.985,$0,$171.082,$0,$100.000,N/A,SI,"- Descuento sobre el precio lista: 6% 
- Decuento maximo sin promociones: 21%


10% Bono Pie
7% en 48 cuotas pistos (Cuesta 2% dcto)
ó Pago pie hasta 36 cuotas sin intereses (Getnet)


4 años de arriendo asegurado y administración gratuita. (3%) (No se puede otorgar este 3% de descuento en caso de no tomar arriendo asegurado, si toma el financiamiento de pie)

Valores arriendo asegurado:
1D+1B (2C)+ka:  desde  $335.000
2D+1B (3C)+ka:  $385.000
2D+1B (4C)+ka:  $405.000
2D+2B (4C)+ka:  $450.000
2D+2B (4C)+kc:  $460.000
Estacionamiento:  $60.000
Bodega:  desde $17.000


","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF 380,UF [68 - 95],NO,SI
OK,Euro,Santa Elena,Santiago,Santa Elena 1670,Inmediata,Euro,A+,"3,00%","1,50%",,SI,"10,00%","7,00%","3,00%","2,00%",48,0,"0,00%",48,"7,00%",0,"0,00%",UF2.575,$0,$147.605,$0,$100.000,N/A,SI,"- Descuento sobre el precio lista: 2%
- Descuento maximo sin promociones: 17% (solo para pago de pie contado)


10% Bono Pie
7% en 48 cuotas pistos (Cuesta 2% dcto)
ó Pago pie hasta 36 cuotas sin intereses (Getnet)


4 años de arriendo asegurado y administración gratuita. (3%) (No se puede otorgar este 3% de descuento en caso de no tomar arriendo asegurado, si toma el financiamiento de pie)


Valores arriendo asegurado
1D+1B (2C)+Ka $350.000
2D+1B (3C)+ka $420.000
2D+1B (4C)+ka $440.000
2D+1B (4C)+kc $440.000
2D+2B (4C)+ka $480.000","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF 220-380,UF 83-102,NO,SI
OK,Euro,Vicuña Mackenna,Ñuñoa,Av. Vicuña Mackenna 1432,Inmediata,Euro,A,"3,00%","1,50%","3% a la promesa, si va sin upfront es 3% a la escritura",SI,"10,00%","17,00%","3,00%","2,00%",48,0,"0,00%",48,"7,00%",0,"0,00%",UF3.190,$0,$182.821,$0,$100.000,N/A,SI,"- Descuento sobre el precio lista: 2%
- Descuento maximo sin promociones: 17% (solo para pago de pie contado)


10% Bono Pie
7% en 48 cuotas pistos (Cuesta 2% dcto)
ó Pago pie hasta 18 cuotas sin intereses (TC)


4 años de arriendo asegurado y administración gratuita. (3%) (No se puede otorgar este 3% de descuento en caso de no tomar arriendo asegurado, si toma el financiamiento de pie)


Valores arriendo asegurado:
1D+1B (2C / Ka):  $370.000
2D+1B (3C / Ka): $440.000
2D+1B (4C / Ka):  $450.000
2D+2B (4C / Kc):  $520.000
2D+2B (M)(4C / Ka):  $500.000
Estacionamiento:  $50.000
Bodega:  $17.000","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [350 - 375],UF [60 - 75],NO,SI
ACTUALIZANDO,Fai,Armonía,La Cisterna,Colón 6461,Inmediata,,A+,"6,00%","3,00%",6% a la escritura,NO,"20,00%","0,00%","0,00%","0,00%",0,0,"0,00%",0,"0,00%",0,"0,00%",UF2.530,$0,$0,$0,$100.000,N/A,NO,"hasta 20% Bono Pie. 

Opciones de pago de pie
TC 18 cuotas sin interés. 
10% 60 cuotas Creditu (Cuesta un 4,5%)

Estacionamientos: solo para tipologias de 2D. ","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ","UF 376,91","UF 86,15",SI,
DETENIDO,Fai,Balance,La Cisterna,Ignacio Echeverría 7986,1S2028,Constructora DVE,A+,"4,00%","2,00%",N/A,NO,"10,00%","10,00%","0,00%","0,00%",28,28,"10,00%",0,"0,00%",0,"0,00%",UF2.713,$380.789,$0,$0,$100.000,,NO,"10% Bono Pie
10% cuotas antes de entrega.","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [320 - 350],UF [80 - 100],SI,
ACTUALIZANDO,Fai,Equilibrio,La Cisterna,Av. María 6470,inmediata,Constructora DVE,A+,"6,00%","3,00%",6% a la escritura,NO,"20,00%","10,00%","0,00%","0,00%",60,0,"0,00%",60,"10,00%",0,"0,00%",UF2.567,$0,$168.131,$0,$100.000,N/A,NO,"20% Bono Pie

Opción sin bono pie:
10% en 60 cuotas (Cuesta un 4,5% de dcto)","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ","UF 355,37","UF86,15",SI,
ACTUALIZANDO,Fai,Fan,Macúl,Quinchamalí 3130,2S2026,Constructora DVE,A+,"4,00%","2,00%",N/A,NO,"10,00%","10,00%","0,00%","0,00%",45,9,"5,00%",36,"5,00%",0,"0,00%",UF3.338,$728.823,$182.206,$0,$100.000,,NO,"10% Bono Pie
5% cuotas antes de entrega
(Sin cuotas hacer 3%dcto)
5% cuotas despues de TC Transbank","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ","UF 376,91","UF 107,69",SI,
ACTUALIZANDO,Fai,Live,Ñuñoa,Rodrigo de Araya 2836,Inmediata,Constructora DVE,A+,"6,00%","3,00%",6% a la escritura,NO,"15,00%","5,00%","0,00%","0,00%",60,0,"0,00%",60,"5,00%",0,"0,00%",UF4.514,$0,$147.833,$0,$100.000,N/A,NO,"Opción 1
15% Bono Pie
5% 60 cuotas Creditu.
(Sin cuotas hacer 4,5% dcto)
Sin arriendo garantizado

Opción 2
10% bono pie
5% en cuotas creditu
Con arriendo garantizado

4 años Arriendo garantizado
1D+1B $370.000
2D+2B $470.000
2D+2BM $545.000
","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ","UF 376,91","UF 86,15",SI,SI
ACTUALIZANDO,Fai,Move,Santiago,Franklin 312,Inmediata,Constructora DVE,A+,"6,00%","3,00%",6% a la escritura,NO,"15,00%","5,00%","0,00%","0,00%",60,0,"0,00%",60,"5,00%",0,"0,00%",UF2.983,$0,$97.698,$0,$100.000,N/A,NO,"Hasta 15% Bono Pie


hasta 10% 60 cuotas Creditu (cuesta un 4,5% dcto)","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ","UF 409,22","UF 96,92",SI,
ACTUALIZANDO,FAI,O2,Estación Central,"Av. Libertador Bernardo
O'Higgins 4361",Inmediata,FAI,A+,"4,00%","2,00%","
 4% a la escritura",SI,"20,00%","0,00%","0,00%","3,00%",0,0,"0,00%",0,"0,00%",0,"0,00%",UF2.748,$0,$0,$0,$100.000,N/A,NO,"Opcion 1:
20% Bono pie
3% dcto

Opcion 2:
15% Bono Pie
5% en 60 cuotas con Creditu
(Se debe aumentar el precio un 4,5%)
Hacer cotización manual","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",,,,
ACTUALIZANDO,Fai,Vista Park,La Florida,Rupanco 395,Inmediata,Constructora DVE,A+,"6,00%","3,00%",6% a la escritura,,"15,00%","5,00%","0,00%","0,00%",60,0,"0,00%",60,"5,00%",0,"0,00%",UF3.474,$0,$113.758,$0,$100.000,"Gift card de $150.000 al asesor y $50.000 al lider por cada venta de 1,5D1B + Estacionamiento",NO,"15% Bono Pie
5% 60 cuotas
(Sin cuotas hacer 4,5%dcto)

Estacionamientos aparte se pueden pagar con 18 cuotas transbank o ","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ","UF [387,68","UF [96,92]",SI,
OK,Grupo Araucana,Aires de Marañón,Viña del Mar,Gregorio Marañón 2300,1S2027,,A+,"3,00%","3,00%",N/A,SI,"10,00%","10,00%","0,00%","14,00%",72,12,"3,00%",0,"0,00%",60,"7,00%",,$0,,,$100.000,,SI,"10% bono pie
3% en cuotas antes de entrega  
7% cuoton ( creditu 60 cuotas)

Descuento sin bono: 14%","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [320 - 380],UF [70 - 110],NO,NO
OK,Grupo Araucana,Las Brisas,Macúl,Los Platanos 3001,Inmediata,,A+,"6,00%","3,00%","3% a la promesa, 3% a la Escritura (si el cliente va con pie CERO, 0% a la promesa y el 6% a la escritura)",SI,"10,00%","5,00%","5,00%","12,00%",60,0,"0,00%",60,"5,00%",0,"0,00%",UF2.960,$0,$135.716,$0,$100.000,N/A,SI,"10% bono pie
5% cuotas Creditú
5% al contado

Descuento sin bono: 12%
","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [370 - 440],UF [90 - 115],NO,NO
OK,Grupo Araucana,Miraflores,Macúl,Av. Departamenta 3516,Inmediata,,A+,"6,00%","3,00%","3% a la promesa, 3% a la Escritura (si el cliente va con pie CERO, 0% a la promesa y el 6% a la escritura)",SI,"10,00%","10,00%","0,00%","14,00%",60,0,"0,00%",60,"10,00%",0,"0,00%",UF2.460,$0,$112.791,$0,$100.000,N/A,SI,"10% bono pie
10% cuotas Creditú

Descuento sin bono: 14%","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [280 - 400],UF [60 - 150],NO,NO
OK,Imagina,All Ñuñoa,Ñuñoa,Crescente Errázuriz 291,Inmediata,,A+,"3,50%","1,75%","3,5% a la escritura. Se paga al mes Subsiguiente de la firma.",SI,"10,00%","10,00%","0,00%","28,00%",60,0,"0,00%",60,"10,00%",0,"0,00%",UF5.106,$0,$334.440,$0,$100.000,N/A,NO,"10% 60 cuotas con creditu
(si va sin creditu el descuento aumenta un 5%)

Otras condiciones y descuentos revisar drive de la inmobiliaria","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF 430,UF 75-80,SI,
OK,Imagina,All Ñuñoa ll,Ñuñoa,Seminario 1499,Inmediata,,A+,"3,50%","1,75%","3,5% a la escritura. Se paga al mes Subsiguiente de la firma.",SI,"5,00%","10,00%","0,00%","20,00%",60,0,"0,00%",60,"10,00%",0,"0,00%",UF4.909,$0,$321.509,$0,$100.000,N/A,NO,"Descuento considera pie en 60 cuotas creditú

hasta 5% de Bono pie, Revisar tasacion para bono pie

Pago Pie:
Diferencia de pie hasta en 60 cuotas con creditú.
 (si va sin creditú, sumar un 5% de descuento)
ó
Diferencia de pie hasta en 24 cuotas sin interés con TC con Getnet

Otras condiciones y descuentos revisar drive de la inmobiliaria","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [325 - 540],UF [95 - 150],Si,
OK,Imagina,Best Level,Ñuñoa,Romeo Salinas 1529,Inmediata,,A+,"3,50%","1,75%","3,5% a la escritura. Se paga al mes Subsiguiente de la firma.",SI,"10,00%","10,00%","0,00%","22,00%",60,0,"0,00%",60,"10,00%",0,"0,00%",UF6.990,$0,$457.834,$0,$100.000,N/A,NO,"Descuento considera pie en 60 cuotas creditú

hasta 10% de Bono pie, Revisar tasacion para bono pie

Pago Pie:
Diferencia de pie hasta en 60 cuotas con creditú.
ó
Diferencia de pie hasta en 24 cuotas sin interés con TC con Getnet (si va sin creditú, sumar un 5% de descuento)

Unidades de 3D ya incluyen las cuotas en el 22% dcto

Otras condiciones y descuentos revisar drive de la inmobiliaria","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF 430-490 Pocas unidades,UF 70 Pocas unidades,SI,
OK,Imagina,Best Ñuñoa,Ñuñoa,Jose Pedro Alessandri 1295,inmediata,,A+,"3,50%","1,75%","3,5% a la escritura. Se paga al mes Subsiguiente de la firma.",SI,"10,00%","10,00%","0,00%","22,00%",60,0,"0,00%",60,"10,00%",0,"0,00%",UF4.561,$0,$298.766,$0,$100.000,N/A,NO,"Descuento considera pie en 60 cuotas creditú

hasta 10% de Bono pie, Revisar tasacion para bono pie

Pago Pie:
Diferencia de pie hasta en 60 cuotas con creditú.
ó
Diferencia de pie hasta en 24 cuotas sin interés con TC con Getnet (si va sin creditú, sumar un 5% de descuento)

Otras condiciones y descuentos revisar drive de la inmobiliaria","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF 380-460,UF 55-130,SI,
OK,Imagina,Best Site,Santiago,Rosas 1220,Inmediata,,A+,"3,50%","1,75%","3,5% a la escritura. Se paga al mes Subsiguiente de la firma.",SI,"10,00%","10,00%","0,00%","20,00%",60,0,"0,00%",60,"10,00%",0,"0,00%",UF3.306,$0,$216.514,$0,$100.000,N/A,NO,"Descuento considera pie en 60 cuotas creditú

Bono pie, Revisar tasacion para bono pie

Pago Pie:
Diferencia de pie hasta en 60 cuotas con creditú.
ó
Diferencia de pie hasta en 24 cuotas sin interés con TC con Getnet (si va sin creditú, sumar un 5% de descuento)

Otras condiciones y descuentos revisar drive de la inmobiliaria","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [360 - 465],UF [45 - 105],SI,
OK,Imagina,Best Too,Santiago,San Diego 376,Inmediata,,A+,"3,50%","1,75%","3,5% a la escritura. Se paga al mes Subsiguiente de la firma.",SI,"10,00%","10,00%","0,00%","20,00%",60,0,"0,00%",60,"10,00%",0,"0,00%",UF3.306,$0,$216.514,$0,$100.000,N/A,NO,"Descuento considera pie en 60 cuotas creditú

hasta 10% de Bono pie, Revisar tasacion para bono pie

Pago Pie:
Diferencia de pie hasta en 60 cuotas con creditú.
ó
Diferencia de pie hasta en 24 cuotas sin interés con TC con Getnet (si va sin creditú, sumar un 5% de descuento)

Otras condiciones y descuentos revisar drive de la inmobiliaria","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [380 - 575],No quedan,SI,
OK,Imagina,Hometown,Santiago,Santa Elena 1346,Inmediata,,A+,"3,50%","1,75%","3,5% a la escritura. Se paga al mes Subsiguiente de la firma.",SI,"10,00%","10,00%","0,00%","28,00%",60,0,"0,00%",60,"10,00%",0,"0,00%",UF3.598,$0,$235.638,$0,$100.000,N/A,NO,"
Descuento considera pie en 60 cuotas creditú

Bono pie, Revisar tasacion para bono pie

Pago Pie:
Diferencia de pie hasta en 60 cuotas con creditú.
ó
Diferencia de pie hasta en 24 cuotas sin interés con TC con Getnet (si va sin creditú, sumar un 5% de descuento)

Otras condiciones y descuentos revisar drive de la inmobiliaria.
Linea 6 Descuento del 25% (incluye Creditú)","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [405 - 495],No quedan,SI,
OK,Imagina,Metropolitan Park,Ñuñoa,Vicuña Mackenna 1500,1S2029,,A+,"3,50%","1,75%",Al mes subsiguiente de la firma de promesa.,SI,"5,00%","15,00%","0,00%","20,00%",28,28,"10,00%",0,"0,00%",24,"5,00%",UF3.104,$435.669,$0,$254.140,$100.000,N/A,NO,"Revisar tasacion para bono pie

Pago del Pie:

10% de pie en cuotas 

5% de cuotón en 24 cuotas sin interés con TC con Getnet


Otras condiciones y descuentos revisar drive de la inmobiliaria.","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ","UF 420
Pocas unidades","UF 60
Pocas unidades",SI,
OK,Imagina,More ll,Santiago,Eleuterio Ramírez 721,Inmediata,,A+,"3,50%","1,75%","3,5% a la escritura. Se paga al mes Subsiguiente de la firma.",SI,"10,00%","10,00%","0,00%","30,00%",60,0,"0,00%",60,"10,00%",0,"0,00%",UF5.073,$0,$332.255,$0,$100.000,N/A,NO,"Descuento considera pie en 60 cuotas creditú

hasta 10% de Bono pie, Revisar tasacion para bono pie

Pago Pie:
Diferencia de pie hasta en 60 cuotas con creditú.
ó
Diferencia de pie hasta en 24 cuotas sin interés con TC con Getnet (si va sin creditú, sumar un 5% de descuento)

Otras condiciones y descuentos revisar drive de la inmobiliaria","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",No quedan,No quedan,SI,
DETENIDO,Imagina,New Life,Macúl,Exequiel Fernández 3526,2S2025,,A+,"3,50%","1,75%",Al mes subsiguiente de la firma de promesa.,SI,"5,00%","10,00%","0,00%","13,00%",60,0,"0,00%",60,"5,00%",24,"5,00%",UF3.414,$0,$111.810,$279.526,$100.000,N/A,NO,"

descuento considera pie en 60 cuotas creditú

Bono pie Revisar tasacion para bono pie

Pie 20% con bono pie se divide en :
Opción 1 :
10% en 1 cuota antes de entrega.
5% contra escritura. que se puede pagar hasta en 24 cuotas getnet

Opción 2 : Pago Pie
10% en 60 cuotas con creditu
5% contraescritura en 24 cuotas getnet


Otras condiciones y descuentos revisar drive de la inmobiliaria.
Lineas 7 y 11 15% Dcto (Incluye Creditu)","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [370 - 430],UF [65 - 135],SI,
OK,Imagina,OneTown,Santiago,Lord Cochrane 347,Inmediata,,A+,"3,50%","1,75%","3,5% a la escritura. Se paga al mes Subsiguiente de la firma.",SI,"10,00%","10,00%","0,00%","20,00%",60,0,"0,00%",60,"10,00%",0,"0,00%",UF4.121,$0,$269.900,$0,$100.000,N/A,NO,"Descuento considera pie en 60 cuotas creditú

hasta 10% de Bono pie, Revisar tasacion para bono pie

Pago Pie:
Diferencia de pie hasta en 60 cuotas con creditú.
ó
Diferencia de pie hasta en 24 cuotas sin interés con TC con Getnet (si va sin creditú, sumar un 5% de descuento)

Otras condiciones y descuentos revisar drive de la inmobiliaria","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF 400-535,UF 40-130,SI,
DETENIDO,Imagina,Oriente Plus,Ñuñoa,Jaime Guzmán Errázuriz 3311,Inmediata,,A+,,"0,00%",,,"5,00%","15,00%","0,00%","22,00%",60,0,"0,00%",60,"15,00%",0,"0,00%",,$0,$0,$0,$100.000,N/A,NO,"Descuento considera pie en 60 cuotas creditú

hasta 5% de Bono pie, Revisar tasacion para bono pie

Pago Pie:
Diferencia de pie hasta en 60 cuotas con creditú.
ó
Diferencia de pie hasta en 24 cuotas sin interés con TC con Getnet (si va sin creditú, sumar un 5% de descuento)

Otras condiciones y descuentos revisar drive de la inmobiliaria","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",,,,
OK,Imagina,Residential Park,Ñuñoa,Av. Marathon 2040,2S2029,,A+,"3,50%","1,75%",Al mes subsiguiente de la firma de promesa.,SI,"5,00%","10,00%","0,00%","20,00%",36,36,"10,00%",0,"0,00%",24,"5,00%",UF3.264,$356.276,$0,$267.207,$100.000,N/A,NO,"Revisar tasacion para bono pie

Pago del Pie:

10% de pie en cuotas antes de entrega

5% de cuotón en 24 cuotas sin interés con TC con Getnet


Otras condiciones y descuentos revisar drive de la inmobiliaria.","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [380 - 440],UF [60 - 150],SI,
OK,Imagina,Residential Park Santiago,San Joaquín,Celia Solar 2230,2S2025,,A+,"3,50%","1,75%",Al mes subsiguiente de la firma de promesa.,SI,"5,00%","15,00%","0,00%","30,00%",60,0,"0,00%",60,"10,00%",24,"5,00%",UF3.075,$0,$201.402,$251.753,$100.000,N/A,NO,"

Revisar tasacion para bono pie

Pago del pie:
10% 
Se puede vender como entrega inmediata en 60 cuotas con creditú.
(tope de 750UFs para el financiamiento)
Pie restante en cuotón 24 cuotas TC
ó
10% cuotas antes de entrega y saldo de pie hasta en 24 cuotas sin interés con TC con Getnet 

Otras condiciones y descuentos revisar drive de la inmobiliaria.

PROMOCIÓN 🤩

Por este mes creditú no consume descuento.","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [390 - 460],UF [55 - 145],SI,
